event_code,event_type,event_start_date,event_end_date,district,school_level,school_gender,schools_in_universe,schools_exposed,schools_exposed_percent,enrolled_students_exposed,maximum_daily_rainfall_mm_exposed,maximum_3day_rainfall_mm_exposed
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,High,Female,94,34,36.17,17053.0,63.28,63.28
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,High,Male,118,47,39.83,16877.0,63.28,65.15
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,Higher Secondary,Female,11,6,54.55,5722.0,53.15,53.15
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,Higher Secondary,Male,12,7,58.33,6018.0,45.62,45.62
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,Middle,Female,113,46,40.71,10377.0,63.28,65.15
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,Middle,Male,87,34,39.08,6632.0,57.65,57.65
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,Primary,Female,426,180,42.25,17151.0,61.72,61.72
2021_R01,Short intense,2021-07-11,2021-07-13,Attock,Primary,Male,415,180,43.37,13706.0,63.28,65.15
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,High,Female,89,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,High,Male,105,1,0.95,297.0,84.44,135.1
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,Higher Secondary,Female,10,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,Higher Secondary,Male,8,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,Middle,Female,216,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,Middle,Male,147,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,Primary,Female,833,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalnagar,Primary,Male,901,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalpur,High,Female,98,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalpur,High,Male,104,1,0.96,78.0,26.73,26.73
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalpur,Higher Secondary,Female,11,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalpur,Higher Secondary,Male,11,0,0.0,,,
2021_R01,Short intense,2021-07-11,2021-07-13,Bahawalpur,Middle,Female,146,0,0.0,,,
