event_code,event_type,event_start_date,event_end_date,event_duration_days,schools_in_universe,schools_exposed,schools_exposed_percent,enrolled_students_exposed,mean_max_daily_rainfall_mm_exposed,maximum_daily_rainfall_mm_exposed,maximum_3day_rainfall_mm_exposed,regional_trigger_day_count,peak_affected_area_percent
2021_R01,Short intense,2021-07-11,2021-07-13,3,52107,13920,26.71,3290130.0,57.25,115.27,147.34,1,10.056498545444825
2021_R02,Sustained extreme,2021-07-18,2021-07-21,4,52107,19057,36.57,5004032.0,56.98,142.02,174.0,2,9.839236443926596
2021_R03,Cumulative wet spell,2021-07-25,2021-07-29,5,52107,18368,35.25,4984403.0,52.94,142.38,240.12,2,10.163166246693818
2021_R04,Sustained extreme,2021-07-30,2021-08-06,8,52107,12733,24.44,3149152.0,56.23,168.16,191.26,4,4.533820743782493
2021_R05,Cumulative wet spell,2021-08-29,2021-09-02,5,52107,5748,11.03,1536212.0,58.86,126.81,126.81,2,4.761116396037095
2021_R06,Sustained extreme,2021-09-06,2021-09-11,6,52107,27081,51.97,6729845.0,90.57,427.1,461.49,4,20.443081184889703
2021_R07,Short intense,2021-09-20,2021-09-22,3,52107,17853,34.26,4233513.0,41.66,185.37,186.87,1,18.17574089378592
2022_R01,Short intense,2022-01-03,2022-01-05,3,52107,9621,18.46,2266960.0,37.37,102.34,154.02,1,12.04796552325349
2022_R02,Short intense,2022-01-06,2022-01-08,3,52107,13026,25.0,2835178.0,59.29,139.84,169.21,1,10.76545551412881
2022_R03,Short intense,2022-06-19,2022-06-21,3,52107,10568,20.28,2936312.0,32.31,51.23,51.24,1,9.446032623235752
2022_R04,Sustained extreme,2022-07-05,2022-07-10,6,52107,1267,2.43,209371.0,38.29,69.16,83.96,4,13.73230740113223
2022_R05,Sustained extreme,2022-07-13,2022-07-18,6,52107,5221,10.02,1245201.0,47.53,80.35,98.91,3,11.96741719005038
2022_R06,Sustained extreme,2022-07-22,2022-07-28,7,52107,9654,18.53,2210914.0,38.87,105.06,160.97,4,28.79751902250981
2022_R07,Short intense,2022-07-30,2022-08-01,3,52107,7075,13.58,2057508.0,36.57,78.65,95.27,1,5.193946049432303
2022_R08,Short intense,2022-08-06,2022-08-08,3,52107,5611,10.77,1769494.0,42.97,88.91,88.91,1,3.934573059494823
2022_R09,Sustained extreme,2022-08-11,2022-08-14,4,52107,3757,7.21,762279.0,36.21,81.94,81.94,2,8.657162668618398
2022_R10,Sustained extreme,2022-08-15,2022-08-19,5,52107,16023,30.75,3319900.0,50.42,137.24,159.67,3,31.720813094849664
2022_R11,Sustained extreme,2022-08-22,2022-08-25,4,52107,8421,16.16,1648346.0,58.95,120.33,125.06,2,12.6004007960741
2022_R12,Short intense,2022-09-04,2022-09-06,3,52107,5378,10.32,1456669.0,50.28,99.45,99.45,1,3.7856233361501936
2022_R13,Short intense,2022-09-09,2022-09-11,3,52107,3414,6.55,699866.0,48.88,89.43,99.45,1,2.5507445841561154
2023_R01,Short intense,2023-06-02,2023-06-04,3,52107,2383,4.57,493061.0,29.0,53.55,53.55,1,2.924552764982576
2023_R02,Short intense,2023-06-25,2023-06-27,3,52107,9904,19.01,2325447.0,48.81,109.36,176.82,1,7.807976047594392
2023_R03,Short intense,2023-07-03,2023-07-05,3,52107,13684,26.26,3536174.0,47.8,125.99,280.69,1,10.429584603955549
2023_R04,Sustained extreme,2023-07-06,2023-07-09,4,52107,5744,11.02,1781845.0,54.78,125.68,125.68,2,7.807291158957015
2023_R05,Sustained extreme,2023-07-18,2023-07-24,7,52107,22790,43.74,5477689.0,63.33,368.39,368.39,4,13.21526016402516
2023_R06,Short intense,2023-07-25,2023-07-27,3,52107,7105,13.64,2083226.0,54.92,131.0,131.0,1,5.326938365677768
2023_R07,Short intense,2023-08-04,2023-08-06,3,52107,10764,20.66,2875493.0,50.24,135.25,151.79,1,6.437044186764298
2023_R08,Short intense,2023-08-27,2023-08-29,3,52107,2870,5.51,543963.0,41.46,81.21,81.21,1,4.594474367803266
2023_R09,Short intense,2023-09-14,2023-09-16,3,52107,14955,28.7,4043135.0,49.2,135.04,178.91,1,9.680458782044816
2023_R10,Short intense,2023-09-21,2023-09-23,3,52107,10898,20.91,2539382.0,68.26,160.2,167.8,1,8.327211388300674
2024_R01,Sustained extreme,2024-07-05,2024-07-08,4,52107,17793,34.15,4982488.0,38.89,76.68,112.64,2,15.89935531530528
2024_R02,Short intense,2024-07-09,2024-07-11,3,52107,3157,6.06,590433.0,39.24,71.26,71.26,1,4.10833438051587
2024_R03,Sustained extreme,2024-07-27,2024-07-30,4,52107,8027,15.4,1768052.0,52.63,126.17,239.57,2,6.56873408892382
